title,summary
Engineering Scientist - R and D Data Analysis Developer,"
Advanced coursework or significant experience related to data analysis and artificial intelligence (statistics, data mining, scalable machine learning, pattern..."
Data Scientist Sr. Advisor,"
Technical expertise in creating data models, data mining and segmentation. Proven work experience as a data scientist or analyst...."
"Senior Data Scientist, Engineering/Advanced Analytics","
The Advisory Board Company is an Affirmative Action and Equal Opportunity Employer. EOE AA M/F/Vet/Disability"
Senior Development Research Analyst,"
And Microsoft Access (data joins, data cleaning, data mining) is preferred but not required. Demonstrated ability to manage multiple projects, competing..."
Statistical Consultant (Virtual),"
Serves as an analytical consultant for complex client deliveries/implementations Lead/execute analytical projects from solution design and data integrity..."
Data Scientist - Big Data,"
Data driven analytics, event driven analytics, sets of analytics orchestrated through rule engines. A group company within NTT DATA currently seeks a Data..."
Data Scientist,"
We are seeking a lead data scientist post seed funding to drive our advanced analytics. The lead data scientist is responsible for shaping the future structure..."
Corporate Data and Research Analyst,"
Strong understanding of data mining and data management tools and techniques; In 2014, Rice launched a data warehouse project in order to bring together widely..."
Data Scientist - Big Data,"Data driven analytics, event driven analytics, sets of analytics orchestrated through rule engines. A group company within NTT DATA currently seeks a Data..."
Data Scientist - Austin,"How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. We are looking for a mixture between a statistician, scientist,..."
Data Scientist,"
Role - Data Scientist. Experience in data modeling, data mining, data cleansing, and statistical techniques. Really knows the data scientist approach and tools...."
Data Scientist,"
As a Data Scientist you will work with our clients to define a business problem into an analytical problem, determine solution requirements, design the analysis..."
Engineering Scientist - R and D Data Analysis Developer,"
Advanced coursework or significant experience related to data analysis and artificial intelligence (statistics, data mining, scalable machine learning, pattern..."
Data Scientist Sr. Advisor,"
Technical expertise in creating data models, data mining and segmentation. Proven work experience as a data scientist or analyst...."
"Senior Data Scientist, Engineering/Advanced Analytics","
The Advisory Board Company is an Affirmative Action and Equal Opportunity Employer. EOE AA M/F/Vet/Disability"
Senior Development Research Analyst,"
And Microsoft Access (data joins, data cleaning, data mining) is preferred but not required. Demonstrated ability to manage multiple projects, competing..."
Statistical Consultant (Virtual),"
Serves as an analytical consultant for complex client deliveries/implementations Lead/execute analytical projects from solution design and data integrity..."
Data Scientist - Big Data,"
Data driven analytics, event driven analytics, sets of analytics orchestrated through rule engines. A group company within NTT DATA currently seeks a Data..."
Data Scientist,"
We are seeking a lead data scientist post seed funding to drive our advanced analytics. The lead data scientist is responsible for shaping the future structure..."
Corporate Data and Research Analyst,"
Strong understanding of data mining and data management tools and techniques; In 2014, Rice launched a data warehouse project in order to bring together widely..."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist - Austin,"How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. We are looking for a mixture between a statistician, scientist,..."
Senior Artificial Intelligence Programmer/Research Scientist,"
A broad background in AI theory and the practical implementation of AI Platforms, Services, and Eco-Systems as it relates to pattern recognition, data..."
Applied Statistician,"
Experience writing journal articles for an applied audience in a field such as biostatistics, epidemiology, or public health...."
Research Data Analyst,"
Collects and prepares demographic, economic, and subject area program data for statistical. For the use of initiative and independent judgment but is generally..."
Faculty in Data Science,"
(1) data scientists who can make fundamental contributions to the theory, algorithms, and systems aspects of data science, and (2) scholars who work on emerging..."
Senior Data Scientist– Strategic Analytics,"
Discover and apply insights from massive data sets of structured, semi-structured, and unstructured data Collaborate with Line of Business teams and executive..."
Senior Data Scientist– Strategic Analytics,"
Data Scientists are responsible for managing the successful design, execution, and measurement of major data initiatives across all customer-facing channels...."
Data Scientist,"
Studies related to data sciences - data mining. Discovers stories told by the data and presents them to other scientists and business managers...."
Data Scientist,"
Experience or education in Big Data, Data Mining, Machine Learning, Predictive/Prescriptive Analytics, Optimization, Exploratory Analysis & Visualization...."
Advanced Analytics Analyst,"
Will include interaction with data scientists who develop supporting algorithms. As an Analytics professional, you will be part of a team that has enterprise..."
Statistician,"
May assist in developing survey methodologies and questionnaires using acceptable scientific practices, and assist in preparation of presentations for..."
Data Scientist,"Applies predictive analytics, machine learning, simulation, and optimization techniques to generate management insights and enable customer-facing applications;..."
Data Scientist - Austin,"How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. We are looking for a mixture between a statistician, scientist,..."
"EXECUTIVE MANAGER DATA ANALYSIS for Dublin, Ireland","
Departments to ensure the Data Services deliverables. EXECUTIVE MANAGER DATA ANALYSIS. Lead global data analysis teams written...."
Professional Data Scientist BIG DATA,"
Data Analytics or Machine Learning nanodegree; We need people who have the capacity to identify problem spaces where Machine Learning has never been applied..."
Data Scientist,"
Develop powerful business insights E&P data using advanced machine learning techniques. Work closely with cross functional teams of data scientists, date..."
Statistician,"
The Data Scientists will work closely with system and facility leadership; The Program Manager, Data Science is responsible for modeling complex organizational..."
Data Analysis,"
3.Able to explore data, derive actionable business insights from analytical results and capable of drafting recommendation to the business...."
Data Scientist,"
Rigorousand intuitive understanding of statistics, machine learning, regression modelsand optimization techniques Experiencedeveloping machine learning models..."
Principal Data Scientist,"
Probability, statistics, data mining, predictive modeling, experimental design, computational analytics, econometric modeling...."
Data Analytics Scien Lv 2-PCCI,"
As an experienced data analytic scientist, will be responsible for coordinating specific phases of data analytics (extraction, analysis, manipulation, synthesis..."
Research Data Scientist,"
A successful candidate will join a small team of similarly-skilled Data Scientists and Engineers executing a mission to research current advances in industry..."
Data Scientist Intern - The University of Texas at Austin,"
Integrate internal data with external data sources and APIs to discover actionable insights. Data Scientist Intern - The University of Texas at Austin...."
Senior Data Analyst,"High proficiency in writing SQL queries, rolling up data and analyzing large databases to find customer insights...."
Data Scientist - Austin,"How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. We are looking for a mixture between a statistician, scientist,..."
"Architect, Data Analytics","
Data Analytics is responsible for building the analytics platform, tools, and solutions in real-time streaming and batch mode to enable HomeAway’s internal..."
"Data Scientist, Natural Language Processing","
Utilize statistical natural language processing to mine unstructured data, and create insights; Experience with command-line scripting, data structures and..."
Developer/Analyst II,"
This position will work in a highly interdisciplinary environment, interacting with other scientists and both internal stakeholders and external clients to..."
Data Scientist 5796057,"
Successful Data Scientists can lead analytic teams, are familiar with statistical and machine learning algorithms including classification, and have good..."
"Data Scientist - Healthcare (Redmond, WA preferred location)","
Design machine learning models for data discovery and predictive insights. In collaboration with the Xerox or non-Xerox data scientists, develop, enhance, and..."
Speech Recognition Scientist - AI & Machine Learning,"
Familiarity with standard artificial intelligence and machine learning techniques, scientific thinking, and the ability to invent...."
Data Analytics Business Consultant,"
Deliver client analytics projects as part of broader team of data scientists and industry/solution professionals by working with the appropriate technical..."
Data Scientist Intern – Marketing Customer Analytics - Spring 2017,"
Progressing towards a Bachelor’s or Master’s Degree in Business Analytics, Statistics, Applied Statistics, Applied Mathematics, Business, or a related field..."
Data Scientist,"
Strong knowledge of data mining / predictive modeling tools such as TD Aster, SAS, R, Python as well as proficient in SQL and exposure to Teradata, Oracle, and..."
Staff Statistician 1,"
Experience in a scientific programming language, such as C, or a scripting language, such as Perl. Starting salary is commensurate with skills and experience...."
Credit Risk Statistical Analyst,"Gathers information, analyzes data trends, identifies root causes, and develops work products. Working knowledge of data analysis tools including skills to..."
Data Scientist - Marketing Big Data,"Running machine learning algorithms against data sets in H2o, R and Python environments. Data Scientist - Marketing Big Data...."
Data Scientist (Chicago),"
Test and validate algorithms and models using Machine Learning, Deep Learning, Statistics and other techniques or methodologies...."
Data Scientist – Metals & Mining,"
3+ years of deep technical experience in distributed computing, machine learning, and statistics related work within the mining & metals industry...."
Data Analyst/Scientist,"
Must be subject matter expert with a passion for digging into any dataset by researching the relevant in-formation on the subject in order to use the data..."
Data Scientist - Analytics Professional Development Program,"
Data Scientist - Analytics Professional Development Program. Quantitative methods such as business simulations, data mining, and advanced...."
SEM Data Scientist,"
SEM Data Scientist. Support our Search Science projects using Text Analytics and Machine Learning techniques...."
Quantitative Analyst,"
R, MATLAB)- Experience with data visualization is a plus (e.g. As a Quantitative Analyst, you will participate in the full research cycle including ideation,..."
Data Scientist,"
More than 3 years of implementation experience with either Python, Scala, R, SAS, or a similar tool, working with large data sets...."
Data Scientist,"
As a Data Scientist in. Personalization platform, deriving insights from petabytes of anonymized data. Alliance Data will. Alliance Data is an...."
Statistical Problem Solving Professional,"
We are seeking a Statistical Problem Solving Professional will resolve issues, as assigned, using a highly disciplined, data driven approach to ensure effective..."
Data Scientist,"
Machine learning, data visualization, statistical modeling, data mining, or information retrieval. We are currently seeking a Data Scientist, to join our data..."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist - Marketing Big Data,"Running machine learning algorithms against data sets in H2o, R and Python environments. Data Scientist - Marketing Big Data...."
Data Scientist (Chicago),"
Test and validate algorithms and models using Machine Learning, Deep Learning, Statistics and other techniques or methodologies...."
Data Scientist – Metals & Mining,"
3+ years of deep technical experience in distributed computing, machine learning, and statistics related work within the mining & metals industry...."
Data Analyst/Scientist,"
Must be subject matter expert with a passion for digging into any dataset by researching the relevant in-formation on the subject in order to use the data..."
Data Scientist - Analytics Professional Development Program,"
Data Scientist - Analytics Professional Development Program. Quantitative methods such as business simulations, data mining, and advanced...."
SEM Data Scientist,"
SEM Data Scientist. Support our Search Science projects using Text Analytics and Machine Learning techniques...."
Quantitative Analyst,"
R, MATLAB)- Experience with data visualization is a plus (e.g. As a Quantitative Analyst, you will participate in the full research cycle including ideation,..."
Data Scientist,"
More than 3 years of implementation experience with either Python, Scala, R, SAS, or a similar tool, working with large data sets...."
Data Scientist,"
As a Data Scientist in. Personalization platform, deriving insights from petabytes of anonymized data. Alliance Data will. Alliance Data is an...."
Statistical Problem Solving Professional,"
We are seeking a Statistical Problem Solving Professional will resolve issues, as assigned, using a highly disciplined, data driven approach to ensure effective..."
Data Scientist,"
Machine learning, data visualization, statistical modeling, data mining, or information retrieval. We are currently seeking a Data Scientist, to join our data..."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist - Marketing Big Data,"Running machine learning algorithms against data sets in H2o, R and Python environments. Data Scientist - Marketing Big Data...."
Senior Clinical Research Data Manager,"
The position’s primary focus would be in applying data management techniques to large datasets, performing statistical analyses, and working with a team to..."
"Senior Manager, Predictive Analytics & Data Science","
The Data Scientist has a passion for analyzing data and through theory-based inquiry, hypothesis testing and process analytics, discover new insights and trends..."
Junior Quantitative Developer - Data Analysis,"
Long term plans for our team include building a comprehensive data pipeline and machine learning, so a candidate with interests in big data, financial markets..."
Business Data Analyst,"
Business Data Analyst – Mobile Devices to join their Data Sciences team. Applicable workplace experience with SQL...."
Data Scientist,"
The role will focus on extending machine learning, predictive modeling and data mining components to provide up-to-date intelligence to healthcare providers..."
Senior Data Scientist,"
Computational statistics/science, data mining, machine. Act as an expert and evangelist in areas of data mining, machine...."
"VP, Data Scientist - Credit Risk Operational Metrics","
The Data Scientist will design, execute, and interpret statistical analyses to drive insights and strategy. VP, Data Scientist - Credit Risk Operational Metrics..."
"Supply-Chain Data Scientist - Abbott Nutrition - Lake Forest, IL","
Perform ad-hoc analysis to generate deeper level of insights beyond the dashboard Provide improvement recommendations independently and with the local team and..."
Computational Biologist- Statistical Genetics,"
Work in interdisciplinary groups of scientists, engineers, and product developers to translate research insights into a clinically actionable insights for our..."
Data Scientist/Statistics - Applied Technology - 12729,"
Special Skills Excellent communication skills Expert level programming skills in R Experience with a statistical package and various programming languages such..."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist - Marketing Big Data,"Running machine learning algorithms against data sets in H2o, R and Python environments. Data Scientist - Marketing Big Data...."
Data Scientist,"
This position is responsible for modeling complex business problems, discovering unique business insights, and creating innovative solutions with the use of..."
Data Scientists Lead,"
DATA SCIENTIST LEAD. Requires MA/MS in Statistics, Computer Science, Mathematics, Machine Learning, Econometrics, Physics, Biostatistics or related Quantitative..."
Data Scientist,"
Collaborate with other Data Scientists on staff; We are seeking an established Data Scientist with 3 -- 5 years of experience to join our growing Advanced..."
Junior Data Scientist,"
The development and execution of new machine learning predictive modeling algorithms, the coding\development of tools that use machine learning/predictive..."
Senior Data Scientist II,"
We have an exciting opportunity available for a Senior Data Scientist II within Information Research (IR). MS in Computer Science with 10+ years of experience..."
Statistical Analyst,"
MS degree in Analytics, Statistics, or Mathematics fields and 12+ years of Analytics experience or PhD degree and 10+ years of Analytics experience...."
Data Scientist,"
Precima applies shopper insights derived from advanced analytics to help retailers and manufacturers drive sales growth and boost profitability...."
Senior Data Scientist,"
Experience in big data technologies and machine learning. By integrating information from its Watch and Buy segments and other data sources, Nielsen provides..."
Statistical Analyst,"
Data warehouse design/develop. This includes database administration, data consolidation, data analysis and management reporting...."
"Director, Data Science","
Data Scientists in both research and technical aspects of the projects. The applicant is expected to be able to lead other Data Scientists and Senior...."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist - Marketing Big Data,"Running machine learning algorithms against data sets in H2o, R and Python environments. Data Scientist - Marketing Big Data...."
Data Scientist,"
Provides leadership in developing robust solutions for Analytics, Predictive Analytics, Pattern Recognition, Data Mining, Reporting, Web Analytics, and Metadata..."
Data Scientist,"
Integrating with external data sources and APIs to discover interesting trends (NOAA Weather Data + Credit Card Transactions = Fascinating!)...."
"Data Scientist, Platform Optimization","
In addition, the data scientist will also work with the data engineers and analytics team in creating and evolving a scalable predictive modeling platform for..."
Data Scientist - Statistics,"
Expertise in statistical packages such as R or the Python scientific stack (NumPy, SciPy, scikit-learn, pandas)...."
"Data Scientist, Natural Language Processing","
Utilize statistical natural language processing to mine unstructured data, and create insights; Experience with command-line scripting, data structures and..."
Statistical Analyst,"
Investigate and resolve client production data issues. The IRI Analytics Research & Development group is responsible for defining, understanding and maintaining..."
Research Data Analyst,"
Critical thinking, data mining, data modeling, database warehouse, design develop, decision making, judgment, problem solving, troubleshooting...."
Senior Quantitative Analyst,"
R, MATLAB)Experience with data visualization is a plus (e.g. As a Senior Quantitative Analyst, you will lead the full research cycle including ideation, data..."
Senior Data Scientist,"
Trains, mentors, and supervises other data analysts and lesser skilled data scientists. At NORC, Senior Data Scientists play a strategic role in working with..."
Data Scientist,"
Experience with data mining, machine learning, statistical modeling tools and underlying algorithms. Search for data sets matching data analytics requirements...."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist,"5 or more years of progressively complex experience in data analytics.· Demonstrates proficiency in most areas of mathematical analysis methods, machine..."
Data Scientist – Artificial Intelligence Platform,"
Many of us come from scientific backgrounds and seek a counterpart in a data scientist who will be actively supported in helping to organize and apply best..."
Data Scientist,"
This role will involve using fuzzy logic, predictive modeling, statistics, trend analysis, machine learning and other data analysis techniques to collect,..."
Data Scientist Statistician,"
Aetna’s Consumer Health Services - Clinical Analytics team is seeking a Data Scientist Statistician to develop advanced analytic solutions to optimize care..."
Senior Data Scientist (Credit Risk),"
Our Data Scientists develop scalable big data pipeline and machine learning systems using. Please e-mail your resume with subject line Senior Data Scientist...."
Data Scientist,"
Data Scientists are creative problem solvers who love all things data. People Insights is an analytics solution provider geared towards just that – People..."
Data Scientist,"
Develop machine learning, data mining, and statistical and graph-based algorithms designed to analyze massive data sets and partner with Cloud technologists to..."
Data Analyst,"
Data preparation, data visualization and presentation of data. Additionally, the software enables engineers and scientists to quickly analyze and visualize..."
Claims Data Analyst,"
Work with engineers and data scientists to develop innovative solutions to abstract and integrate data from diverse sources...."
"Data Scientist - Ingenuity, McKinsey Solutions","
Very strong problem-solving skills, and quantitative/analytical thinking capabilities (including experience and familiarity doing multivariate predictive..."
Data Specialist,"
Applied Analytics is seeking data specialists with strong skills and the capacity to learn about analytics, information management, and programming looking for..."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist,"5 or more years of progressively complex experience in data analytics.· Demonstrates proficiency in most areas of mathematical analysis methods, machine..."
Data Scientist – Artificial Intelligence Platform,"
Many of us come from scientific backgrounds and seek a counterpart in a data scientist who will be actively supported in helping to organize and apply best..."
Data Scientist,"
This role will involve using fuzzy logic, predictive modeling, statistics, trend analysis, machine learning and other data analysis techniques to collect,..."
Data Scientist Statistician,"
Aetna’s Consumer Health Services - Clinical Analytics team is seeking a Data Scientist Statistician to develop advanced analytic solutions to optimize care..."
Senior Data Scientist (Credit Risk),"
Our Data Scientists develop scalable big data pipeline and machine learning systems using. Please e-mail your resume with subject line Senior Data Scientist...."
Data Scientist,"
Data Scientists are creative problem solvers who love all things data. People Insights is an analytics solution provider geared towards just that – People..."
Data Scientist,"
Develop machine learning, data mining, and statistical and graph-based algorithms designed to analyze massive data sets and partner with Cloud technologists to..."
Data Analyst,"
Data preparation, data visualization and presentation of data. Additionally, the software enables engineers and scientists to quickly analyze and visualize..."
Claims Data Analyst,"
Work with engineers and data scientists to develop innovative solutions to abstract and integrate data from diverse sources...."
"Data Scientist - Ingenuity, McKinsey Solutions","
Very strong problem-solving skills, and quantitative/analytical thinking capabilities (including experience and familiarity doing multivariate predictive..."
Data Specialist,"
Applied Analytics is seeking data specialists with strong skills and the capacity to learn about analytics, information management, and programming looking for..."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
"Computer Vision Data Scientist (Maplewood, MN) Job","
Collect and prepare real world data for computer vision, machine learning, data science, probabilistic inference, and/or computational statistics applications...."
Data Officer,"
This would include supporting data scientists applying and deploying machine learning models on huge amounts of stored unstructured data...."
Research Scientist,"
Experience working with clinical study data and performing statistical analyses. Analyze and present data from animal and clinical studies...."
Prin Statistician,"
Experience applying Bayesian methods to clinical trials. At least 5 years of experience in the design and analysis of clinical studies, or at least 3 years with..."
Healthcare Analytics Consultant - Telecommute,"
Healthcare Analytics Consultant is responsible for performing comprehensive research and analysis, managing analytical project portfolios, identifying..."
Biological Mass Spectrometry Analyst,"
\*Must be able to understand and translate life scientist researchers' scientific goals into analytical strategies and process requirements...."
Research and Data Analysis Supervisor,"
Knowledge of health care data processes, such as claims payment, program enrollment, provider data, and electronic health records...."
Risk Analyst - Lead Statistician,"
Support the Op Risk Management Team in other assignments to apprehend and manage risk. R, Matlab, SAS, or some other statistical language...."
Data Scientist,"
Seek out opportunities to improve our data infrastructure and processes, from data acquisition, through data quality and governance, to data visualization...."
Data Scientist,"
3 - 5 years post university experience in advanced analytics in the fields of data science and applying specific data analytics methods in manufacturing/retail..."
"ETL Developer, Data Warehouse","Work with Data Scientists, Report Developers, and Product Owners to understand business requirements and specific data-related issues...."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
"ETL Developer, Data Warehouse","
Work with Data Scientists, Report Developers, and Product Owners to understand business requirements and specific data-related issues...."
Market Research Analyst,"
This position is also responsible for purchasing of scientific journals, maintenance of the in-house library, and otherwise ensuring supply of needed journal..."
Research and Due Diligence Analyst,"
Ability to manage multiple concurrent assignments and projects. Bank is an equal opportunity employer committed to creating a diverse workforce...."
