,char, race, charclass, level,min_date,max_date
134,311,Undead,Priest,80,2008-11-17,2008-12-31
135,312,Undead,Priest,60,2008-10-03,2008-10-03
136,316,Undead,Warlock,62,2008-04-14,2008-04-14
137,320,Undead,Rogue,76,2008-01-01,2008-12-31
138,322,Undead,Priest,80,2008-01-01,2008-12-31
139,323,Undead,Rogue,74,2008-01-01,2008-12-27
140,325,Undead,Mage,60,2008-03-23,2008-03-23
141,326,Undead,Priest,77,2008-01-06,2008-12-31
142,328,Blood Elf,Paladin,52,2008-02-16,2008-12-31
143,329,Undead,Warlock,80,2008-03-12,2008-12-30
144,331,Undead,Warrior,80,2008-01-01,2008-12-30
145,337,Undead,Priest,60,2008-02-24,2008-02-24
146,341,Undead,Rogue,80,2008-01-01,2008-12-31
147,342,Undead,Rogue,80,2008-01-01,2008-12-31
148,343,Undead,Priest,70,2008-01-01,2008-12-06
149,344,Undead,Mage,70,2008-01-05,2008-12-31
150,345,Undead,Mage,70,2008-01-01,2008-12-25
151,347,Undead,Rogue,70,2008-01-01,2008-11-30
152,348,Undead,Warlock,68,2008-01-03,2008-11-25
153,351,Undead,Warrior,1,2008-04-01,2008-12-22
154,352,Undead,Mage,70,2008-01-01,2008-12-31
155,354,Undead,Mage,74,2008-01-01,2008-12-22
156,359,Undead,Priest,70,2008-01-08,2008-11-30
157,360,Undead,Priest,70,2008-01-06,2008-11-07
158,362,Undead,Rogue,70,2008-01-01,2008-01-26
159,363,Undead,Mage,70,2008-01-12,2008-12-05
160,365,Undead,Priest,60,2008-08-03,2008-08-03
161,369,Undead,Mage,70,2008-02-08,2008-12-29
162,371,Undead,Mage,70,2008-01-11,2008-07-06
163,372,Undead,Mage,78,2008-01-01,2008-12-31
164,376,Undead,Mage,60,2008-01-20,2008-08-18
165,378,Undead,Mage,70,2008-01-02,2008-12-29
166,378,Undead,Warlock,22,2008-01-02,2008-12-29
167,379,Undead,Mage,70,2008-01-01,2008-12-30
168,383,Blood Elf,Mage,1,2008-01-03,2008-12-29
169,383,Undead,Priest,70,2008-01-03,2008-12-29
170,384,Undead,Priest,70,2008-01-01,2008-04-01
171,388,Undead,Rogue,70,2008-01-01,2008-11-16
172,389,Undead,Rogue,70,2008-01-01,2008-10-25
173,391,Undead,Rogue,72,2008-01-01,2008-12-25
174,392,Undead,Warlock,64,2008-01-08,2008-02-02
175,393,Undead,Warlock,80,2008-01-01,2008-12-31
176,394,Undead,Warlock,70,2008-01-01,2008-06-13
177,395,Undead,Warlock,60,2008-05-14,2008-10-01
178,396,Undead,Warlock,60,2008-10-20,2008-10-21
179,397,Undead,Warlock,70,2008-01-01,2008-10-19
180,398,Undead,Warlock,70,2008-01-03,2008-12-28
181,399,Undead,Warlock,80,2008-03-26,2008-12-31
182,401,Undead,Warlock,70,2008-01-02,2008-12-29
183,404,Undead,Warrior,70,2008-08-10,2008-08-10
184,405,Undead,Warrior,80,2008-01-01,2008-12-31
185,406,Undead,Warrior,60,2008-02-22,2008-04-25
186,410,Orc,Hunter,70,2008-01-02,2008-09-26
187,413,Tauren,Shaman,70,2008-01-05,2008-02-13
188,414,Tauren,Shaman,70,2008-01-01,2008-12-19
189,417,Troll,Warrior,70,2008-01-01,2008-10-11
190,419,Undead,Priest,75,2008-06-24,2008-12-28
191,420,Undead,Rogue,80,2008-01-21,2008-12-31
192,423,Orc,Hunter,78,2008-01-01,2008-12-31
193,424,Orc,Rogue,70,2008-01-01,2008-10-29
194,426,Tauren,Shaman,77,2008-01-01,2008-12-31
195,427,Tauren,Druid,80,2008-01-01,2008-12-31
196,428,Tauren,Druid,71,2008-01-06,2008-12-29
197,429,Tauren,Warrior,74,2008-06-24,2008-12-28
198,437,Troll,Shaman,80,2008-01-01,2008-12-31
199,441,Undead,Mage,60,2008-01-13,2008-12-30
200,443,Undead,Warlock,80,2008-01-01,2008-12-31
201,449,Tauren,Druid,80,2008-02-04,2008-12-31
202,455,Troll,Rogue,60,2008-01-26,2008-03-07
203,456,Troll,Mage,80,2008-01-01,2008-12-31
204,460,Undead,Mage,70,2008-01-01,2008-12-30
205,461,Undead,Mage,22,2008-10-16,2008-10-16
206,462,Undead,Warlock,70,2008-01-20,2008-07-18
207,463,Undead,Priest,70,2008-03-16,2008-03-16
208,464,Undead,Mage,70,2008-01-02,2008-05-31
209,465,Undead,Priest,59,2008-01-09,2008-01-09
210,467,Orc,Warrior,1,2008-01-08,2008-05-30
211,476,Tauren,Warrior,80,2008-01-04,2008-12-31
212,477,Tauren,Druid,60,2008-11-24,2008-11-24
213,480,Tauren,Hunter,70,2008-04-12,2008-05-28
214,489,Undead,Warlock,73,2008-01-01,2008-12-30
215,490,Undead,Mage,48,2008-05-26,2008-09-25
216,491,Undead,Mage,60,2008-11-24,2008-11-24
217,492,Undead,Mage,80,2008-01-01,2008-12-31
218,495,Blood Elf,Priest,1,2008-12-06,2008-12-21
219,497,Orc,Warrior,70,2008-01-03,2008-04-26
220,499,Orc,Hunter,70,2008-01-01,2008-12-13
221,501,Orc,Warrior,65,2008-01-29,2008-11-14
222,502,Orc,Warrior,71,2008-01-01,2008-12-31
223,505,Tauren,Warrior,70,2008-02-10,2008-12-23
224,507,Tauren,Druid,80,2008-01-01,2008-12-31
225,508,Tauren,Druid,80,2008-01-01,2008-12-31
226,513,Troll,Rogue,75,2008-01-01,2008-12-30
227,514,Undead,Warlock,3,2008-10-19,2008-12-29
228,516,Undead,Rogue,29,2008-01-31,2008-12-30
229,518,Undead,Priest,70,2008-01-01,2008-08-06
230,519,Undead,Warrior,72,2008-01-02,2008-12-24
231,522,Orc,Hunter,60,2008-01-06,2008-08-10
232,524,Tauren,Hunter,78,2008-11-19,2008-12-20
233,525,Tauren,Hunter,60,2008-02-10,2008-06-08
234,527,Tauren,Shaman,60,2008-07-22,2008-12-12
235,528,Troll,Rogue,7,2008-01-03,2008-01-13
236,531,Troll,Hunter,71,2008-01-01,2008-12-31
237,532,Troll,Rogue,65,2008-03-03,2008-04-18
238,535,Undead,Warrior,70,2008-01-16,2008-12-22
239,536,Undead,Warrior,60,2008-01-10,2008-11-24
240,538,Undead,Priest,60,2008-09-15,2008-09-20
241,539,Undead,Rogue,60,2008-09-15,2008-09-15
242,540,Undead,Mage,72,2008-01-01,2008-12-31
243,542,Undead,Priest,62,2008-08-05,2008-09-16
244,545,Tauren,Druid,12,2008-03-08,2008-12-25
245,546,Tauren,Druid,70,2008-01-01,2008-12-27
246,553,Undead,Mage,80,2008-01-01,2008-12-31
247,554,Undead,Mage,74,2008-05-07,2008-12-27
248,555,Undead,Mage,63,2008-01-05,2008-10-19
249,556,Undead,Mage,70,2008-01-01,2008-08-11
250,557,Undead,Warlock,80,2008-01-02,2008-12-31
251,560,Orc,Hunter,60,2008-03-01,2008-11-14
252,565,Tauren,Shaman,74,2008-01-04,2008-12-28
253,566,Tauren,Warrior,70,2008-01-01,2008-09-26
254,567,Tauren,Shaman,80,2008-01-01,2008-12-31
255,568,Undead,Rogue,10,2008-02-23,2008-02-25
256,570,Troll,Rogue,63,2008-01-04,2008-12-18
257,575,Undead,Priest,42,2008-01-17,2008-04-12
258,579,Undead,Mage,62,2008-07-22,2008-10-30
259,582,Orc,Warrior,71,2008-01-01,2008-12-31
260,586,Tauren,Druid,71,2008-01-07,2008-12-27
261,587,Tauren,Shaman,60,2008-11-22,2008-12-19
262,589,Troll,Mage,3,2008-03-07,2008-10-19
263,590,Troll,Rogue,70,2008-01-01,2008-07-17
264,593,Undead,Mage,80,2008-01-01,2008-12-31
265,595,Undead,Mage,60,2008-01-01,2008-01-01
266,598,Orc,Warrior,47,2008-10-23,2008-10-23
267,601,Tauren,Druid,80,2008-01-01,2008-12-31
268,604,Troll,Hunter,60,2008-02-05,2008-03-05
269,607,Troll,Hunter,70,2008-01-28,2008-11-24
270,612,Undead,Warrior,70,2008-01-01,2008-12-19
271,613,Orc,Warrior,1,2008-01-03,2008-12-17
272,614,Orc,Hunter,56,2008-01-01,2008-12-19
273,616,Orc,Hunter,80,2008-01-01,2008-12-29
274,618,Troll,Hunter,63,2008-01-04,2008-11-07
275,620,Undead,Priest,30,2008-06-30,2008-06-30
276,623,Undead,Warlock,61,2008-06-07,2008-06-07
277,624,Undead,Warlock,60,2008-08-10,2008-08-10
278,626,Orc,Hunter,60,2008-01-09,2008-01-13
279,631,Tauren,Shaman,8,2008-04-19,2008-04-26
280,636,Troll,Rogue,70,2008-01-04,2008-10-04
281,638,Undead,Warrior,70,2008-01-04,2008-07-08
282,640,Undead,Warlock,70,2008-01-01,2008-12-27
283,643,Tauren,Hunter,26,2008-08-17,2008-08-17
284,644,Tauren,Warrior,64,2008-01-05,2008-11-02
285,645,Tauren,Druid,70,2008-01-03,2008-12-06
286,646,Troll,Shaman,5,2008-02-18,2008-02-24
287,650,Undead,Mage,80,2008-01-01,2008-12-31
288,657,Orc,Warrior,60,2008-02-18,2008-02-19
289,659,Tauren,Hunter,70,2008-01-15,2008-10-24
290,660,Troll,Rogue,80,2008-01-03,2008-12-31
291,661,Troll,Mage,58,2008-01-21,2008-01-21
292,663,Troll,Shaman,80,2008-01-01,2008-12-31
293,665,Tauren,Hunter,80,2008-01-01,2008-12-31
294,667,Tauren,Hunter,70,2008-01-02,2008-12-22
295,668,Troll,Mage,1,2008-02-24,2008-02-25
296,669,Troll,Shaman,22,2008-01-07,2008-12-02
297,672,Undead,Mage,32,2008-04-20,2008-04-20
298,673,Undead,Warlock,70,2008-01-26,2008-12-13
299,676,Undead,Warlock,66,2008-01-09,2008-06-06
300,680,Tauren,Druid,60,2008-09-24,2008-09-24
301,681,Tauren,Hunter,70,2008-01-01,2008-10-21
302,685,Troll,Rogue,80,2008-01-21,2008-12-31
303,691,Orc,Hunter,70,2008-01-09,2008-04-02
304,694,Tauren,Warrior,70,2008-01-01,2008-05-07
305,695,Undead,Rogue,80,2008-01-01,2008-12-31
306,696,Undead,Warlock,60,2008-01-08,2008-09-16
307,697,Troll,Hunter,76,2008-01-01,2008-12-31
308,701,Undead,Warlock,70,2008-01-01,2008-10-12
309,704,Orc,Hunter,60,2008-10-10,2008-10-10
310,710,Undead,Mage,71,2008-01-13,2008-12-30
311,712,Undead,Warrior,71,2008-01-01,2008-11-24
312,714,Orc,Rogue,71,2008-01-11,2008-12-30
313,716,Orc,Hunter,7,2008-12-07,2008-12-07
314,722,Undead,Warlock,80,2008-01-01,2008-12-31
315,730,Troll,Hunter,60,2008-09-13,2008-09-13
316,732,Undead,Rogue,25,2008-12-17,2008-12-17
317,735,Orc,Hunter,34,2008-03-14,2008-03-16
318,742,Undead,Mage,70,2008-01-01,2008-05-20
319,744,Orc,Hunter,60,2008-12-16,2008-12-30
320,748,Undead,Priest,70,2008-01-02,2008-11-09
321,750,Undead,Mage,70,2008-05-28,2008-08-18
322,752,Undead,Mage,71,2008-01-08,2008-12-30
323,753,Orc,Hunter,80,2008-01-01,2008-12-30
324,754,Tauren,Warrior,70,2008-01-01,2008-09-27
325,758,Orc,Hunter,60,2008-08-22,2008-08-28
326,759,Tauren,Warrior,80,2008-01-01,2008-12-31
327,762,Undead,Priest,32,2008-02-08,2008-12-06
328,764,Orc,Warrior,73,2008-01-15,2008-12-31
329,765,Tauren,Druid,2,2008-01-04,2008-12-31
330,767,Tauren,Shaman,70,2008-07-12,2008-11-12
331,768,Troll,Priest,1,2008-02-11,2008-02-11
332,769,Undead,Warlock,66,2008-01-02,2008-12-21
333,770,Undead,Rogue,74,2008-01-12,2008-12-31
334,772,Troll,Mage,70,2008-01-01,2008-09-26
335,775,Undead,Rogue,70,2008-01-01,2008-09-30
336,776,Undead,Warrior,70,2008-07-01,2008-08-14
337,777,Orc,Hunter,80,2008-09-29,2008-12-21
338,781,Undead,Priest,70,2008-01-04,2008-07-13
339,782,Undead,Warlock,80,2008-01-01,2008-12-31
340,784,Troll,Priest,70,2008-01-01,2008-06-21
341,787,Orc,Warrior,18,2008-01-11,2008-08-11
342,789,Orc,Warrior,1,2008-03-31,2008-04-02
343,789,Tauren,Warrior,11,2008-03-31,2008-04-02
344,793,Orc,Shaman,78,2008-01-01,2008-12-31
345,795,Undead,Mage,60,2008-04-26,2008-04-26
346,798,Troll,Hunter,61,2008-03-15,2008-12-08
347,800,Undead,Mage,72,2008-01-15,2008-12-21
348,802,Tauren,Druid,63,2008-08-22,2008-12-27
349,804,Troll,Shaman,70,2008-02-08,2008-12-19
350,805,Undead,Priest,63,2008-11-16,2008-12-30
351,806,Tauren,Druid,70,2008-01-01,2008-12-31
352,807,Troll,Rogue,28,2008-03-03,2008-10-03
353,811,Undead,Priest,70,2008-02-28,2008-12-15
354,812,Troll,Rogue,62,2008-01-19,2008-10-25
355,816,Troll,Priest,61,2008-01-09,2008-06-27
356,819,Tauren,Warrior,70,2008-01-01,2008-11-28
357,820,Tauren,Shaman,80,2008-01-01,2008-12-31
358,826,Tauren,Warrior,70,2008-02-29,2008-10-13
359,830,Undead,Priest,27,2008-03-05,2008-03-31
360,832,Undead,Priest,26,2008-01-01,2008-11-30
361,837,Tauren,Shaman,43,2008-12-15,2008-12-15
362,842,Troll,Mage,70,2008-02-24,2008-12-06
363,843,Troll,Rogue,70,2008-01-01,2008-09-26
364,844,Undead,Rogue,43,2008-11-22,2008-11-22
365,846,Tauren,Warrior,66,2008-01-18,2008-01-18
366,850,Tauren,Druid,24,2008-07-05,2008-12-21
367,852,Undead,Warlock,80,2008-09-29,2008-12-31
368,855,Tauren,Druid,56,2008-05-22,2008-08-30
369,857,Troll,Rogue,60,2008-11-28,2008-11-28
370,862,Tauren,Hunter,70,2008-01-02,2008-11-17
371,863,Tauren,Warrior,80,2008-10-11,2008-12-31
372,865,Undead,Warlock,62,2008-06-19,2008-07-14
373,866,Tauren,Druid,2,2008-10-07,2008-10-07
374,867,Orc,Warlock,80,2008-09-04,2008-12-31
375,868,Tauren,Druid,70,2008-01-01,2008-07-17
376,869,Tauren,Shaman,54,2008-05-22,2008-08-10
377,870,Blood Elf,Death Knight,69,2008-01-01,2008-12-31
378,870,Undead,Death Knight,55,2008-01-01,2008-12-31
379,870,Undead,Priest,70,2008-01-01,2008-12-31
380,872,Undead,Warrior,70,2008-02-06,2008-02-17
381,875,Orc,Warrior,80,2008-11-10,2008-12-30
382,876,Orc,Hunter,62,2008-01-01,2008-10-14
383,878,Tauren,Shaman,33,2008-12-15,2008-12-30
384,881,Troll,Rogue,70,2008-01-06,2008-12-30
385,885,Orc,Hunter,60,2008-01-09,2008-01-09
386,886,Tauren,Druid,60,2008-03-22,2008-03-23
387,887,Troll,Rogue,1,2008-01-01,2008-05-30
388,889,Troll,Shaman,70,2008-06-27,2008-08-24
389,890,Undead,Mage,70,2008-01-01,2008-11-28
390,892,Undead,Priest,70,2008-01-01,2008-03-31
391,895,Undead,Warrior,1,2008-01-04,2008-10-05
392,904,Tauren,Druid,35,2008-12-17,2008-12-26
393,906,Tauren,Warrior,73,2008-01-03,2008-12-27
394,908,Tauren,Warrior,70,2008-01-05,2008-11-09
395,909,Troll,Hunter,64,2008-01-12,2008-06-21
396,917,Troll,Warrior,60,2008-11-23,2008-11-23
397,923,Tauren,Shaman,12,2008-01-25,2008-08-10
398,925,Tauren,Hunter,80,2008-01-01,2008-12-29
399,927,Undead,Mage,25,2008-02-13,2008-11-01
400,929,Undead,Mage,70,2008-01-01,2008-12-05
401,930,Undead,Rogue,57,2008-02-06,2008-07-03
402,932,Orc,Hunter,60,2008-01-01,2008-11-01
403,937,Tauren,Druid,65,2008-01-05,2008-12-14
404,939,Tauren,Warrior,80,2008-01-03,2008-12-31
405,941,Undead,Priest,70,2008-01-01,2008-10-03
406,943,Undead,Mage,70,2008-01-01,2008-08-17
407,944,Undead,Warlock,70,2008-01-01,2008-11-30
408,949,Tauren,Warrior,75,2008-01-04,2008-12-28
409,950,Troll,Hunter,30,2008-04-12,2008-04-24
410,957,Tauren,Druid,54,2008-06-01,2008-07-21
411,958,Tauren,Shaman,70,2008-01-01,2008-12-19
412,962,Undead,Priest,69,2008-01-26,2008-11-23
413,963,Undead,Warrior,60,2008-02-28,2008-02-28
414,965,Orc,Warlock,41,2008-12-13,2008-12-13
415,971,Undead,Mage,72,2008-03-31,2008-12-11
416,973,Undead,Warrior,70,2008-01-01,2008-12-31
417,974,Undead,Warlock,65,2008-09-28,2008-09-29
418,975,Undead,Mage,60,2008-11-23,2008-11-23
419,977,Orc,Hunter,60,2008-09-07,2008-12-02
420,978,Orc,Rogue,40,2008-05-25,2008-08-17
421,980,Orc,Hunter,70,2008-01-01,2008-12-12
422,983,Troll,Hunter,27,2008-01-07,2008-10-27
423,985,Undead,Priest,70,2008-01-03,2008-12-30
424,986,Undead,Warlock,71,2008-01-13,2008-12-30
425,987,Undead,Priest,72,2008-05-11,2008-12-12
426,988,Orc,Hunter,2,2008-01-05,2008-12-25
427,990,Tauren,Druid,80,2008-01-10,2008-12-28
428,991,Troll,Shaman,62,2008-01-05,2008-10-31
429,992,Undead,Warlock,70,2008-01-01,2008-10-25
430,993,Undead,Mage,1,2008-10-09,2008-10-09
431,1003,Orc,Warrior,80,2008-01-01,2008-12-31
432,1006,Undead,Rogue,66,2008-02-08,2008-11-30
433,1007,Undead,Warlock,60,2008-06-23,2008-06-23
434,1011,Troll,Hunter,70,2008-01-01,2008-12-08
435,1012,Undead,Priest,12,2008-01-02,2008-08-16
436,1016,Orc,Warrior,60,2008-01-18,2008-11-07
437,1020,Troll,Mage,72,2008-01-14,2008-12-30
438,1022,Undead,Priest,80,2008-01-01,2008-12-31
439,1024,Blood Elf,Paladin,70,2008-01-01,2008-10-10
440,1027,Undead,Rogue,80,2008-01-01,2008-12-31
441,1028,Orc,Shaman,70,2008-05-11,2008-12-27
442,1029,Orc,Hunter,70,2008-02-01,2008-12-27
443,1037,Undead,Warlock,44,2008-02-11,2008-02-11
444,1040,Tauren,Warrior,70,2008-01-02,2008-12-27
445,1042,Tauren,Shaman,63,2008-01-27,2008-01-29
446,1043,Orc,Warlock,80,2008-01-01,2008-12-30
447,1044,Tauren,Druid,69,2008-01-03,2008-12-31
448,1045,Tauren,Shaman,60,2008-12-17,2008-12-19
449,1049,Troll,Hunter,70,2008-05-28,2008-07-22
450,1055,Undead,Warlock,73,2008-01-01,2008-12-07
451,1058,Orc,Rogue,70,2008-01-03,2008-12-27
452,1061,Tauren,Warrior,60,2008-05-26,2008-12-30
453,1070,Undead,Warlock,74,2008-01-01,2008-12-31
454,1073,Undead,Priest,60,2008-02-13,2008-08-19
455,1075,Undead,Warlock,80,2008-02-04,2008-12-31
456,1079,Troll,Mage,68,2008-01-20,2008-08-09
457,1081,Undead,Warrior,54,2008-10-04,2008-11-25
458,1082,Orc,Warrior,1,2008-03-09,2008-03-09
459,1087,Tauren,Shaman,74,2008-11-08,2008-12-31
460,1089,Tauren,Warrior,70,2008-01-01,2008-11-23
461,1094,Undead,Rogue,77,2008-01-01,2008-12-24
462,1096,Troll,Shaman,70,2008-01-07,2008-12-08
463,1102,Undead,Priest,72,2008-02-28,2008-11-26
464,1108,Undead,Warlock,41,2008-03-08,2008-11-26
465,1109,Undead,Rogue,62,2008-09-19,2008-09-20
466,1111,Tauren,Druid,70,2008-05-09,2008-11-08
467,1115,Undead,Mage,52,2008-10-08,2008-10-09
468,1116,Orc,Shaman,6,2008-01-01,2008-03-02
469,1118,Tauren,Druid,70,2008-02-03,2008-11-16
470,1119,Tauren,Hunter,70,2008-01-01,2008-03-09
471,1120,Tauren,Druid,62,2008-01-02,2008-12-27
472,1121,Troll,Shaman,5,2008-05-31,2008-09-26
473,1123,Troll,Rogue,71,2008-05-11,2008-12-31
474,1124,Undead,Rogue,12,2008-08-05,2008-09-16
475,1125,Orc,Shaman,80,2008-02-14,2008-12-31
476,1128,Tauren,Warrior,70,2008-01-01,2008-01-23
477,1129,Tauren,Shaman,80,2008-01-19,2008-12-31
478,1131,Troll,Hunter,73,2008-01-01,2008-12-14
479,1132,Undead,Warrior,70,2008-01-12,2008-12-27
